iter	TotalF1	MultiClass
0	0.7547185891	1.684369163
1	0.7967736318	1.472055894
2	0.8083496074	1.320241048
3	0.8218016547	1.197626304
4	0.8263843628	1.102747542
5	0.8307214534	1.021373975
6	0.8319563201	0.9562161262
7	0.8329147131	0.9027727878
8	0.8377611174	0.8561817155
9	0.8397986868	0.8153210786
10	0.8470054745	0.7759359788
11	0.8489050054	0.7424958774
12	0.8514592453	0.7123378308
13	0.8517897722	0.687034496
14	0.8533498755	0.6629589462
15	0.8533746786	0.6375380939
16	0.8573338173	0.6182564006
17	0.860154902	0.6001151756
18	0.8615770934	0.5814782031
19	0.863291863	0.5665323596
20	0.8647559449	0.5537948266
21	0.8694832364	0.538738244
22	0.8711099209	0.5255228262
23	0.8728229266	0.5150084474
24	0.8745287524	0.5039321119
25	0.8763425081	0.4941600624
26	0.8783578752	0.4866349001
27	0.8784131203	0.4793235046
28	0.8806684882	0.4690870143
29	0.8829426919	0.4608517074
30	0.88449412	0.4553876902
31	0.8859097978	0.4487810684
32	0.8877043332	0.4412313723
33	0.8883499698	0.4370471298
34	0.8896321702	0.4318359209
35	0.8903985954	0.4269606293
36	0.8913908751	0.4199017337
37	0.8921720074	0.4150386146
38	0.8927330723	0.4103927526
39	0.8939603646	0.4066502233
40	0.8944690763	0.4022201186
41	0.8953595508	0.3974967097
42	0.896156549	0.3929566751
43	0.8969419823	0.3890015522
44	0.8975475637	0.3848116953
45	0.8980587823	0.3807734889
46	0.8981869861	0.3784560558
47	0.8985795096	0.3751657499
48	0.8987819585	0.3724810435
49	0.8989174891	0.3703046677
50	0.8994143311	0.3671150181
51	0.8999891834	0.3644995691
52	0.9003717218	0.3622732601
53	0.9009508502	0.3595987762
54	0.9019943541	0.3579395574
55	0.9028193262	0.3552807851
56	0.9030510965	0.3533364743
57	0.9032785391	0.351251525
58	0.903736084	0.3482171935
59	0.903896601	0.346448359
60	0.9042735909	0.3441827317
61	0.9046898643	0.3419081999
62	0.9050734615	0.3402436882
63	0.9052949379	0.3388835973
64	0.9056411078	0.3369351582
65	0.9059971927	0.3350798373
66	0.9062806352	0.3328639293
67	0.9066728844	0.3309827312
68	0.9067682193	0.3292155449
69	0.9068926855	0.3280350396
70	0.9071086826	0.3263978522
71	0.9074676564	0.3250842551
72	0.9078172943	0.3228790997
73	0.9081837045	0.3214317793
74	0.908845366	0.3200072584
75	0.9089734207	0.3193128692
76	0.9095709508	0.3175238278
77	0.9096083347	0.3164387834
78	0.9097045202	0.3154952398
79	0.9100929747	0.3144801815
80	0.9105307164	0.3127133411
81	0.910724437	0.3120250403
82	0.9107851212	0.3111617517
83	0.9109258207	0.3102444351
84	0.9110996537	0.3088778553
85	0.9113687018	0.3073746875
86	0.9115615705	0.3057935651
87	0.9117200398	0.3044600613
