iter	Passed	Remaining
0	1186	592064
1	2324	578709
2	3302	547181
3	4363	541090
4	5447	539339
5	6421	528699
6	7439	523966
7	8464	520580
8	9421	513977
9	10526	515774
10	11506	511516
11	12522	509244
12	13579	508721
13	14587	506411
14	15889	513770
15	16992	514035
16	18026	512159
17	19174	513454
18	20427	517134
19	21559	517416
20	22619	515930
21	23794	516979
22	24998	518438
23	26212	519878
24	27343	519531
25	28476	519149
26	29474	516348
27	30635	516422
28	31757	515782
29	32914	515668
30	33968	513909
31	35253	515577
32	36264	513190
33	37249	510542
34	38283	508620
35	39390	507703
36	40826	510878
37	42071	511500
38	43366	512611
39	44717	514246
40	45934	514237
41	47080	513404
42	48126	511480
43	49303	510968
44	50476	510371
45	51812	511364
46	53191	512673
47	54425	512508
48	55612	511865
49	56743	510687
50	57894	509699
51	58969	508048
52	60077	506690
53	61203	505492
54	62274	503860
55	63409	502745
56	64540	501607
57	65965	502703
58	67199	502290
59	68312	500961
60	69396	499427
61	70686	499365
62	71775	497868
63	73063	497746
64	74281	497116
65	75700	497788
66	76828	496521
67	77949	495207
68	79039	493713
69	80224	492807
70	81362	491612
71	82515	490506
72	83703	489609
73	84973	489170
74	86103	487921
75	87285	486958
76	88559	486499
77	89996	486902
78	91210	486073
79	92352	484851
80	93557	483956
81	94972	484130
82	96251	483578
83	97522	482969
84	98656	481674
85	99875	480796
86	101038	479642
87	102185	478415
88	103263	476867
89	104404	475622
90	105633	474770
91	106764	473476
92	107918	472286
93	109031	470921
94	110217	469875
95	111355	468620
96	112700	468231
97	113949	467426
98	115150	466416
99	116300	465201
100	117434	463923
101	118743	463332
102	120254	463503
103	121456	462470
104	122659	461431
105	123943	460697
106	125174	459753
107	126239	458203
108	127454	457200
109	128592	455920
110	129888	455194
111	131155	454359
112	132337	453226
113	133470	451928
114	134637	450742
115	135777	449471
116	136893	448122
117	138063	446952
118	139250	445836
119	140435	444713
120	141547	443359
121	142663	442021
122	143762	440638
123	144874	439295
124	145977	437933
125	147134	436731
126	148196	435254
127	149306	433922
128	150487	432797
129	151557	431356
130	152633	429937
131	153714	428538
132	154841	427269
133	155994	426075
134	157181	424970
135	158294	423669
136	159392	422332
137	160535	421114
138	161568	419613
139	162643	418226
140	163793	417035
141	165036	416076
142	166114	414705
143	167192	413336
144	168265	411960
145	169330	410567
146	170421	409244
147	171489	407866
148	172529	406429
149	173627	405129
150	174696	403769
151	175836	402572
152	176916	401242
153	178004	399933
154	179204	398873
155	180414	397836
156	181450	396417
157	182502	395037
158	183563	393679
159	184930	392977
160	186438	392563
161	187700	391621
162	188876	390500
163	190199	389676
164	191293	388384
165	192340	386997
166	193521	385884
167	194922	385204
168	196183	384241
169	197276	382947
170	198573	382050
171	199706	380835
172	200835	379612
173	202159	378757
174	203461	377856
175	204791	377001
176	206092	376088
177	207259	374929
178	208450	373812
179	209759	372905
180	210905	371706
181	211981	370384
182	213142	369213
183	214176	367824
184	215291	366577
185	216335	365211
186	217521	364087
187	218564	362723
188	219877	361808
189	220941	360484
190	222067	359260
191	223188	358031
192	224319	356818
193	225530	355734
194	226595	354418
195	227708	353180
196	228738	351816
197	229929	350700
198	230969	349356
199	232028	348042
200	233058	346688
201	234096	345350
202	235184	344088
203	236206	342730
204	237262	341426
205	238304	340104
206	239386	338842
207	240531	337669
208	241646	336455
209	242822	335326
210	244110	334350
211	245464	333461
212	246574	332238
213	247667	330995
214	248934	329982
215	250067	328792
216	251114	327489
217	252148	326174
218	253276	324980
219	254497	323906
220	255727	322841
221	256791	321567
222	257847	320285
223	258950	319064
224	260075	317870
225	261144	316608
226	262198	315331
227	263273	314080
228	264311	312788
229	265482	311653
230	266550	310398
231	267639	309169
232	268724	307937
233	269866	306771
234	270957	305547
235	272016	304290
236	273110	303072
237	274190	301840
238	275347	300693
239	276446	299484
240	277533	298262
241	278608	297028
242	279741	295857
243	280849	294661
244	281987	293497
245	283158	292366
246	284306	291212
247	285478	290083
248	286582	288884
249	287752	287752
250	288906	286604
251	290071	285467
252	291193	284287
253	292282	283076
254	293328	281825
255	294393	280593
256	295700	279592
257	296837	278428
258	297866	277165
259	298942	275946
260	300066	274773
261	301115	273532
262	302202	272326
263	303242	271080
264	304352	269897
265	305582	268820
266	306664	267613
267	307764	266422
268	308846	265218
269	310070	264133
270	311174	262947
271	312273	261758
272	313410	260601
273	314574	259466
274	315846	258419
275	316971	257252
276	318046	256044
277	319103	254823
278	320249	253674
279	321323	252468
280	322395	251262
281	323540	250112
282	324633	248924
283	325762	247763
284	326820	246548
285	327926	245371
286	329002	244172
287	330134	243015
288	331184	241799
289	332412	240712
290	333473	239505
291	334680	238402
292	335782	237225
293	336829	236009
294	337878	234796
